price,latitude,longitude,bedrooms,minimum_nights,maximum_nights,number_of_reviews,reviews_per_month,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Bronx,neighbourhood_group_cleansed_Brooklyn,neighbourhood_group_cleansed_Manhattan,neighbourhood_group_cleansed_Queens,neighbourhood_group_cleansed_Staten Island
120.0,40.64303,-73.89208,1.0,30.0,90.0,4.0,0.19,365,3.25,3.5,3.25,3.5,3.5,1,0,0,0,0,1,0,0,0
75.0,40.80377985056735,-73.9643568930822,3.0,30.0,365.0,11.0,1.2,365,4.82,4.91,4.82,5.0,4.64,0,0,1,0,0,0,1,0,0
65.0,40.67976,-74.00631,1.0,30.0,365.0,21.0,0.2,155,4.71,4.43,4.81,4.9,4.43,0,0,1,0,0,1,0,0,0
73.0,40.67562,-73.98259,0.0,30.0,360.0,16.0,0.13,65,4.56,4.6,4.93,4.94,4.88,0,0,1,0,0,1,0,0,0
85.0,40.64904,-73.93517,1.0,1.0,26.0,128.0,2.19,353,4.96,4.95,4.98,4.97,4.75,0,0,1,0,0,1,0,0,0
65.0,40.63708,-73.93574,2.0,30.0,45.0,102.0,3.83,178,4.93,4.92,4.96,4.98,4.6,0,0,1,0,0,1,0,0,0
220.0,40.761422,-73.83319709999999,1.0,1.0,25.0,3.0,0.49,339,3.67,3.67,4.67,4.67,3.0,0,0,1,0,0,0,0,1,0
110.0,40.67328817730807,-73.98229582564878,1.0,30.0,120.0,0.0,,238,,,,,,0,0,1,0,0,1,0,0,0
110.0,40.67763,-74.012,1.0,5.0,25.0,212.0,2.34,220,4.82,4.86,4.94,4.84,4.8,0,0,1,0,0,1,0,0,0
900.0,40.68442,-73.98068,5.0,30.0,60.0,43.0,0.3,350,4.7,4.52,4.88,4.88,4.86,0,0,1,0,0,1,0,0,0
80.0,40.66727,-73.99173,1.0,30.0,1125.0,77.0,0.86,354,4.78,4.65,4.91,4.87,4.92,0,0,1,0,0,1,0,0,0
111.0,40.65888,-73.98466,1.0,1.0,40.0,101.0,2.99,28,4.77,4.52,4.96,4.97,4.88,0,0,1,0,0,1,0,0,0
300.0,40.66770570062732,-73.7545137,4.0,30.0,30.0,16.0,1.62,157,4.69,4.63,4.75,4.63,4.81,1,0,0,0,0,0,0,1,0
111.0,40.68278,-73.99151,1.0,30.0,30.0,53.0,3.57,152,4.87,4.92,5.0,5.0,4.74,1,0,0,0,0,1,0,0,0
83.0,40.6658,-73.98625,1.0,30.0,180.0,4.0,0.08,110,4.5,4.5,4.5,5.0,5.0,0,0,1,0,0,1,0,0,0
51.0,40.67069,-73.98821,1.0,30.0,540.0,3.0,0.08,295,4.67,5.0,5.0,4.0,5.0,0,0,1,0,0,1,0,0,0
325.0,40.67497,-73.97796,2.0,30.0,60.0,42.0,0.3,87,4.86,4.78,4.93,4.95,4.95,0,0,1,0,0,1,0,0,0
83.0,40.7175,-73.83443,1.0,30.0,365.0,0.0,,365,,,,,,0,0,1,0,0,0,0,1,0
115.0,40.69386,-73.98543,0.0,30.0,365.0,3.0,0.66,208,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
200.0,40.68088,-73.99102,1.0,30.0,270.0,242.0,1.69,218,4.98,4.97,4.99,4.97,4.97,1,0,0,0,0,1,0,0,0
53.0,40.6022776,-73.9371647,1.0,30.0,1125.0,0.0,,357,,,,,,0,0,1,0,0,1,0,0,0
133.0,40.76257,-73.97725,2.0,30.0,200.0,5.0,0.29,363,5.0,4.6,5.0,5.0,5.0,0,0,1,0,0,0,1,0,0
125.0,40.75341,-73.90115,1.0,30.0,365.0,76.0,1.2,363,4.87,4.96,4.95,4.91,4.74,0,0,1,0,0,0,0,1,0
50.0,40.68085991337582,-73.8904696883606,1.0,30.0,220.0,8.0,0.47,328,5.0,5.0,4.88,5.0,4.38,0,0,1,0,0,1,0,0,0
106.0,40.6660982,-73.8931984,1.0,1.0,365.0,21.0,5.61880000000001,146,4.95,4.95,4.95,5.0,4.95,0,0,1,0,0,1,0,0,0
150.0,40.67979,-73.97978,1.0,30.0,31.0,57.0,0.35,38,4.71,4.38,4.85,4.94,4.89,1,0,0,0,0,1,0,0,0
34.0,40.64608,-73.92479,1.0,30.0,365.0,12.0,0.15,364,4.67,4.67,4.92,4.92,4.42,0,0,1,0,0,1,0,0,0
111.0,40.6743,-73.98095,1.0,30.0,93.0,10.0,0.35,144,5.0,4.7,4.9,4.9,5.0,1,0,0,0,0,1,0,0,0
250.0,40.80454169852395,-73.95970893149914,2.0,30.0,365.0,0.0,,55,,,,,,1,0,0,0,0,0,1,0,0
200.0,40.80689,-73.96579,1.0,30.0,365.0,17.0,0.95,81,4.94,4.94,4.94,4.94,4.88,1,0,0,0,0,0,1,0,0
357.0,40.80411047466277,-73.9649770266393,3.0,4.0,365.0,1.0,0.32,208,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0,1,0,0
42.0,40.61021,-73.9583,1.0,30.0,180.0,20.0,0.22,36,4.65,4.89,5.0,5.0,4.94,0,0,1,0,0,1,0,0,0
173.0,40.76177,-73.96664,1.0,30.0,1125.0,8.0,0.28,340,5.0,5.0,4.88,5.0,4.63,1,0,0,0,0,0,1,0,0
169.0,40.67628231326392,-73.97853996422258,1.0,30.0,365.0,4.0,0.38,69,4.75,5.0,5.0,5.0,4.75,1,0,0,0,0,1,0,0,0
65.0,40.64012,-73.96582,1.0,30.0,270.0,41.0,0.62,164,4.98,4.83,5.0,4.95,4.9,0,0,1,0,0,1,0,0,0
43.0,40.69211,-73.866,1.0,30.0,180.0,69.0,0.77,82,5.0,5.0,5.0,4.99,4.88,0,0,1,0,0,0,0,1,0
70.0,40.70535,-73.90261,1.0,30.0,45.0,32.0,0.61,181,5.0,5.0,5.0,4.97,4.84,0,0,1,0,0,0,0,1,0
230.0,40.6849,-73.98993,2.0,30.0,1125.0,11.0,0.36,64,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
32.0,40.6326,-73.91561,2.0,30.0,365.0,0.0,,167,,,,,,0,0,1,0,0,1,0,0,0
200.0,40.68418,-73.98557,1.0,30.0,60.0,6.0,0.26,148,4.83,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
85.0,40.67087,-73.89099,1.0,30.0,1125.0,28.0,1.59,180,4.93,4.89,4.93,4.96,4.86,0,0,1,0,0,1,0,0,0
98.0,40.76974,-73.96197,1.0,30.0,1125.0,8.0,0.3,110,4.75,4.0,4.75,5.0,5.0,1,0,0,0,0,0,1,0,0
375.0,40.68272,-73.99204,2.0,30.0,30.0,77.0,0.61,36,5.0,4.92,4.93,4.97,4.97,1,0,0,0,0,1,0,0,0
100.0,40.80494,-73.96476,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,0,1,0,0
80.0,40.62588411112705,-73.92427740900246,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,1,0,0,0
414.0,40.70199,-73.98366,1.0,30.0,1125.0,270.0,5.61880000000001,0,4.91,4.92,4.9,4.88,4.9,1,0,0,0,0,1,0,0,0
164.0,40.78563,-73.9751,1.0,30.0,365.0,0.0,,317,,,,,,1,0,0,0,0,0,1,0,0
102.0,40.79982595042055,-73.96525987069936,1.0,1.0,365.0,6.0,1.98,226,4.67,4.67,4.5,4.83,4.83,0,0,1,0,0,0,1,0,0
221.0,40.64603163116104,-73.90389734164906,1.0,1.0,25.0,85.0,5.61880000000001,251,4.99,5.0,5.0,5.0,4.88,1,0,0,0,0,1,0,0,0
108.0,40.6791739,-73.8451446,1.0,30.0,1125.0,2.0,0.11,365,4.5,4.5,5.0,5.0,5.0,0,0,1,0,0,0,0,1,0
32.0,40.67880624421884,-73.88487328683483,1.0,30.0,30.0,40.0,4.1,54,4.5,4.38,4.6,4.63,4.33,0,0,1,0,0,1,0,0,0
150.0,40.78815,-73.9677,1.0,30.0,365.0,20.0,0.35,140,4.7,4.7,4.8,4.8,5.0,1,0,0,0,0,0,1,0,0
180.0,40.64511,-73.92413,1.0,2.0,730.0,109.0,3.72,65,4.89,4.95,4.89,4.91,4.76,1,0,0,0,0,1,0,0,0
138.0,40.64244,-73.94666,2.0,30.0,60.0,101.0,1.81,364,4.93,4.88,4.98,5.0,4.59,0,0,1,0,0,1,0,0,0
127.0,40.77097,-73.96073,1.0,30.0,365.0,9.0,0.52,365,3.67,3.78,3.56,3.78,4.67,1,0,0,0,0,0,1,0,0
350.0,40.78711,-73.97226,2.0,30.0,365.0,105.0,0.8,167,4.95,4.95,4.97,4.98,4.99,1,0,0,0,0,0,1,0,0
50.0,40.64326721809914,-73.9631691286459,1.0,30.0,30.0,1.0,0.18,365,5.0,4.0,5.0,5.0,5.0,0,0,1,0,0,1,0,0,0
118.0,40.7923558,-73.9697565,1.0,30.0,1125.0,0.0,,89,,,,,,1,0,0,0,0,0,1,0,0
71.0,40.6479398,-73.93063190000001,1.0,30.0,365.0,1.0,0.42,270,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
120.0,40.6624762286806,-73.90184178016023,1.0,3.0,29.0,0.0,,260,,,,,,0,0,1,0,0,1,0,0,0
140.0,40.66416,-73.98353,1.0,30.0,60.0,12.0,0.14,178,4.92,4.83,5.0,5.0,4.92,1,0,0,0,0,1,0,0,0
218.0,40.78571,-73.97074,1.0,1.0,1125.0,0.0,,322,,,,,,1,0,0,0,0,0,1,0,0
255.0,40.789855,-73.973142,1.0,31.0,1125.0,0.0,,287,,,,,,1,0,0,0,0,0,1,0,0
43.0,40.64335876878743,-73.96453956469878,5.0,90.0,365.0,0.0,,0,,,,,,0,0,1,0,0,1,0,0,0
39.0,40.64891985630555,-73.9506288802351,4.0,90.0,365.0,0.0,,0,,,,,,0,0,1,0,0,1,0,0,0
129.0,40.78638,-73.97053,1.0,30.0,1124.0,10.0,0.26,264,5.0,4.9,5.0,5.0,5.0,1,0,0,0,0,0,1,0,0
500.0,40.68034,-73.99291,3.0,30.0,90.0,3.0,0.09,36,5.0,4.67,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
190.0,40.67641,-73.97908,3.0,30.0,30.0,13.0,0.11,314,4.85,4.77,5.0,4.92,4.92,1,0,0,0,0,1,0,0,0
240.0,40.65223,-73.83821,1.0,30.0,365.0,0.0,,269,,,,,,1,0,0,0,0,0,0,1,0
99.0,40.60026,-73.95793,1.0,30.0,1125.0,0.0,,179,,,,,,0,0,1,0,0,1,0,0,0
119.0,40.679859123627125,-73.84984795359894,1.0,30.0,30.0,0.0,,268,,,,,,1,0,0,0,0,0,0,1,0
150.0,40.68592,-73.87262,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,1,0,0,0
130.0,40.6892489,-73.8695067,1.0,30.0,31.0,0.0,,269,,,,,,0,0,1,0,0,1,0,0,0
40.0,40.647659038389385,-73.94870190581152,4.0,90.0,365.0,0.0,,0,,,,,,0,0,1,0,0,1,0,0,0
100.0,40.66058629004727,-73.8936622420112,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,1,0,0,0
79.0,40.64171840560989,-73.94256364165297,1.0,30.0,1125.0,25.0,1.77,311,4.36,4.24,4.76,4.56,4.52,1,0,0,0,0,1,0,0,0
34.0,40.7962,-73.96334,1.0,30.0,90.0,261.0,2.35,220,4.66,4.49,4.69,4.83,4.83,0,0,0,1,0,0,1,0,0
150.0,40.64666060494195,-73.94543561036092,2.0,30.0,365.0,0.0,,364,,,,,,1,0,0,0,0,1,0,0,0
37.0,40.81623960538531,-73.9435927193934,1.0,30.0,365.0,0.0,,246,,,,,,0,0,1,0,0,0,1,0,0
84.0,40.64441447806023,-73.96243767786383,1.0,30.0,365.0,0.0,,269,,,,,,1,0,0,0,0,1,0,0,0
185.0,40.80275,-73.95112,1.0,30.0,365.0,76.0,4.23,364,4.8,4.91,4.92,4.96,4.47,1,0,0,0,0,0,1,0,0
80.0,40.81061,-73.94505,1.0,30.0,90.0,88.0,0.66,72,4.73,4.88,4.83,4.81,4.51,1,0,0,0,0,0,1,0,0
248.0,40.70422,-73.89778,2.0,30.0,730.0,5.0,0.03,365,4.0,4.25,4.5,5.0,4.25,1,0,0,0,0,0,0,1,0
189.0,40.68047,-73.87344,2.0,30.0,365.0,13.0,0.75,364,4.85,4.85,5.0,4.92,4.54,1,0,0,0,0,1,0,0,0
135.0,40.80149,-73.95252,1.0,30.0,1125.0,19.0,0.72,35,4.89,5.0,4.95,4.95,4.47,1,0,0,0,0,0,1,0,0
267.0,40.79461037276417,-73.9437934470267,3.0,3.0,365.0,8.0,1.47,160,4.75,4.75,4.88,4.88,4.38,1,0,0,0,0,0,1,0,0
145.0,40.79026964544689,-73.94270942956196,1.0,30.0,365.0,20.0,2.13,365,4.8,4.65,4.85,5.0,4.5,0,0,1,0,0,0,1,0,0
80.0,40.80634,-73.95905,1.0,31.0,365.0,3.0,0.22,170,5.0,4.67,5.0,5.0,5.0,0,0,1,0,0,0,1,0,0
48.0,40.79092,-73.94832,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,0,1,0,0
135.0,40.79266,-73.94363,1.0,30.0,1125.0,5.0,0.28,210,4.8,4.6,5.0,5.0,4.4,1,0,0,0,0,0,1,0,0
135.0,40.60063,-73.95975,0.0,30.0,1125.0,0.0,,365,,,,,,1,0,0,0,0,1,0,0,0
399.0,40.63428,-73.94915,3.0,30.0,365.0,6.0,0.33,364,4.33,3.83,4.33,4.5,3.67,1,0,0,0,0,1,0,0,0
37.0,40.81695147855796,-73.94339776991214,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,0,1,0,0
135.0,40.60035,-73.95957,0.0,30.0,1125.0,0.0,,179,,,,,,1,0,0,0,0,1,0,0,0
98.0,40.81696,-73.94443,1.0,30.0,365.0,0.0,,364,,,,,,0,0,1,0,0,0,1,0,0
170.0,40.8034488,-73.9465201,1.0,1.0,365.0,1.0,1.0,237,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0,1,0,0
325.0,40.80681,-73.95145,2.0,30.0,31.0,244.0,2.94,364,4.98,4.97,4.95,4.99,4.83,0,0,1,0,0,0,1,0,0
93.0,40.8073,-73.94771,1.0,30.0,30.0,1.0,0.01,365,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,0,1,0,0
76.0,40.80336,-73.94669,1.0,30.0,30.0,22.0,0.17,365,4.68,5.0,4.77,4.91,4.36,0,0,1,0,0,0,1,0,0
130.0,40.72372723229208,-73.97625850509617,1.0,2.0,40.0,270.0,4.29,115,4.79,4.77,4.79,4.78,4.74,0,0,1,0,0,0,1,0,0
500.0,40.71629595366778,-73.96040748051509,2.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,1,0,0,0
180.0,40.80474,-73.94593,1.0,30.0,1125.0,193.0,1.99,365,4.6,4.77,4.81,4.78,4.58,0,0,0,1,0,0,1,0,0
100.0,40.80188,-73.94656,1.0,30.0,1000.0,1.0,0.02,365,5.0,5.0,5.0,5.0,5.0,0,0,0,1,0,0,1,0,0
106.0,40.7072505,-73.9399195,1.0,3.0,27.0,62.0,0.46,79,4.95,4.97,4.97,5.0,4.76,0,0,1,0,0,1,0,0,0
110.0,40.727745266742,-73.97651268388006,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,0,1,0,0
230.0,40.71844,-73.96189,1.0,30.0,365.0,0.0,,38,,,,,,0,0,1,0,0,1,0,0,0
321.0,40.71546,-73.95985,1.0,4.0,60.0,74.0,2.47,8,4.86,4.76,4.73,4.93,4.96,1,0,0,0,0,1,0,0,0
99.0,40.75441316983686,-73.9353287593749,1.0,30.0,31.0,11.0,1.16,365,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,0,0,1,0
99.0,40.74768482711784,-73.92406812676047,1.0,30.0,90.0,42.0,2.02,364,4.62,4.64,4.79,4.74,4.81,0,0,1,0,0,0,0,1,0
100.0,40.67428,-73.88621,1.0,30.0,30.0,77.0,5.41,364,4.55,4.6,4.74,4.92,4.64,0,0,1,0,0,1,0,0,0
48.0,40.790504027624095,-73.94955101195515,1.0,30.0,365.0,0.0,,269,,,,,,0,0,1,0,0,0,1,0,0
69.0,40.72342689726101,-73.97533773930348,1.0,30.0,180.0,0.0,,289,,,,,,0,0,1,0,0,0,1,0,0
113.0,40.70953,-73.96222,1.0,30.0,90.0,1.0,0.09,177,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,1,0,0,0
125.0,40.71956905855629,-73.96424284232786,1.0,30.0,1125.0,0.0,,88,,,,,,0,0,1,0,0,1,0,0,0
93.0,40.75771,-73.92666,1.0,30.0,31.0,34.0,1.11,35,4.65,4.32,4.56,4.85,4.88,0,0,1,0,0,0,0,1,0
136.0,40.80911,-73.94317,2.0,30.0,1125.0,25.0,0.19,249,4.92,4.96,5.0,5.0,4.88,1,0,0,0,0,0,1,0,0
100.0,40.7374,-73.92535,1.0,30.0,365.0,10.0,0.53,333,4.4,4.3,4.6,4.4,4.6,0,0,1,0,0,0,0,1,0
288.0,40.71336593433272,-73.96327244440262,1.0,30.0,365.0,13.0,1.15,206,5.0,5.0,4.85,4.92,4.92,1,0,0,0,0,1,0,0,0
132.0,40.75927,-73.92863,1.0,30.0,365.0,4.0,0.26,364,4.25,4.25,4.0,4.5,4.25,0,0,1,0,0,0,0,1,0
289.0,40.709656,-73.96674399999999,1.0,30.0,65.0,3.0,0.42,268,4.67,4.67,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
75.0,40.754,-73.92508,1.0,3.0,25.0,70.0,3.22,19,4.79,4.6,4.94,4.93,4.64,0,0,1,0,0,0,0,1,0
230.0,40.709192520218096,-73.96475112352049,1.0,30.0,365.0,1.0,0.15,153,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
134.0,40.71306,-73.96048,1.0,30.0,365.0,40.0,0.51,258,4.93,4.98,5.0,5.0,4.93,1,0,0,0,0,1,0,0,0
250.0,40.71457,-73.96417,1.0,30.0,40.0,122.0,1.26,89,4.98,4.94,4.99,4.99,5.0,1,0,0,0,0,1,0,0,0
225.0,40.75404,-73.93119,2.0,30.0,365.0,7.0,0.23,285,4.86,4.43,5.0,4.86,4.57,1,0,0,0,0,0,0,1,0
189.0,40.71603,-73.93923,1.0,3.0,365.0,131.0,4.82,171,4.95,4.92,4.97,4.98,4.9,0,0,1,0,0,1,0,0,0
950.0,40.71831,-73.96143,3.0,30.0,1125.0,5.0,0.16,278,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,0,0
100.0,40.74406410070513,-74.00390183617337,4.0,30.0,180.0,0.0,,251,,,,,,0,0,1,0,0,0,1,0,0
500.0,40.72296,-74.00781,1.0,30.0,60.0,2.0,0.13,364,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,0,1,0,0
